date,product_id,product_category,sales_qty,price,store_id,day_of_week,month,quarter,is_weekend,is_holiday,base_demand,price_change_pct,weather_event,weather_intensity,natural_disaster,disaster_severity,festival_event,festival_impact_level,economic_event,economic_impact_score,combined_event_count,is_pre_event,is_post_event,sales_lag_7d,sales_lag_30d,rolling_avg_7d,rolling_avg_30d
2024-01-01,SKU013,Sports,194,104.22,STORE_001,0,1,1,0,0,197,0.0,None,None,None,0,None,None,None,0,0,0,0,197.0,197.0,194.0,194.0
2024-01-01,SKU014,Home,205,151.8,STORE_001,0,1,1,0,0,247,0.0,None,None,None,0,None,None,None,0,0,0,0,247.0,247.0,205.0,205.0
2024-01-01,SKU015,Home,309,59.23,STORE_001,0,1,1,0,0,271,-0.44,None,None,None,0,None,None,None,0,0,0,0,271.0,271.0,309.0,309.0
2024-01-01,SKU016,Sports,92,158.47,STORE_001,0,1,1,0,0,91,-17.2,None,None,None,0,None,None,None,0,0,0,0,91.0,91.0,92.0,92.0
2024-01-01,SKU017,Beauty,252,468.96,STORE_001,0,1,1,0,0,229,0.0,None,None,None,0,None,None,None,0,0,0,0,229.0,229.0,252.0,252.0
2024-01-01,SKU018,Stationery,204,93.86,STORE_001,0,1,1,0,0,212,0.0,None,None,None,0,None,None,None,0,0,0,0,212.0,212.0,204.0,204.0
2024-01-01,SKU019,Food,192,195.93,STORE_001,0,1,1,0,0,168,0.0,None,None,None,0,None,None,None,0,0,0,0,168.0,168.0,192.0,192.0
2024-01-01,SKU020,Medicine,91,316.83,STORE_001,0,1,1,0,0,106,-8.29,None,None,None,0,None,None,None,0,0,0,0,106.0,106.0,91.0,91.0
2024-01-01,SKU021,Electronics,126,412.68,STORE_001,0,1,1,0,0,108,0.0,None,None,None,0,None,None,None,0,0,0,0,108.0,108.0,126.0,126.0
2024-01-01,SKU022,Books,107,42.43,STORE_001,0,1,1,0,0,118,0.0,None,None,None,0,None,None,None,0,0,0,0,118.0,118.0,107.0,107.0
2024-01-01,SKU023,Stationery,299,361.78,STORE_001,0,1,1,0,0,274,0.0,None,None,None,0,None,None,None,0,0,0,0,274.0,274.0,299.0,299.0
2024-01-01,SKU024,Toys,160,443.49,STORE_001,0,1,1,0,0,151,0.0,None,None,None,0,None,None,None,0,0,0,0,151.0,151.0,160.0,160.0
2024-01-01,SKU025,Food,102,78.42,STORE_001,0,1,1,0,0,117,0.0,None,None,None,0,None,None,None,0,0,0,0,117.0,117.0,102.0,102.0
2024-01-01,SKU026,Medicine,96,376.04,STORE_001,0,1,1,0,0,117,0.0,None,None,None,0,None,None,None,0,0,0,0,117.0,117.0,96.0,96.0
2024-01-01,SKU027,Stationery,125,187.38,STORE_001,0,1,1,0,0,152,0.0,None,None,None,0,None,None,None,0,0,0,0,152.0,152.0,125.0,125.0
2024-01-01,SKU028,Food,147,251.82,STORE_001,0,1,1,0,0,180,0.0,None,None,None,0,None,None,None,0,0,0,0,180.0,180.0,147.0,147.0
2024-01-01,SKU029,Clothing,103,317.45,STORE_001,0,1,1,0,0,89,0.0,None,None,None,0,None,None,None,0,0,0,0,89.0,89.0,103.0,103.0
2024-01-01,SKU030,Books,166,41.13,STORE_001,0,1,1,0,0,202,0.0,None,None,None,0,None,None,None,0,0,0,0,202.0,202.0,166.0,166.0
2024-01-01,SKU031,Toys,210,109.27,STORE_001,0,1,1,0,0,185,-17.96,None,None,None,0,None,None,None,0,0,0,0,185.0,185.0,210.0,210.0
2024-01-01,SKU032,Electronics,256,363.15,STORE_001,0,1,1,0,0,224,0.0,None,None,None,0,None,None,None,0,0,0,0,224.0,224.0,256.0,256.0
2024-01-01,SKU033,Medicine,284,140.74,STORE_001,0,1,1,0,0,242,0.0,None,None,None,0,None,None,None,0,0,0,0,242.0,242.0,284.0,284.0
2024-01-01,SKU034,Clothing,128,183.91,STORE_001,0,1,1,0,0,125,-17.54,None,None,None,0,None,None,None,0,0,0,0,125.0,125.0,128.0,128.0
2024-01-01,SKU035,Beauty,316,255.29,STORE_001,0,1,1,0,0,298,0.0,None,None,None,0,None,None,None,0,0,0,0,298.0,298.0,316.0,316.0
2024-01-01,SKU036,Clothing,252,316.4,STORE_001,0,1,1,0,0,272,0.0,None,None,None,0,None,None,None,0,0,0,0,272.0,272.0,252.0,252.0
2024-01-01,SKU037,Medicine,218,107.47,STORE_001,0,1,1,0,0,205,0.0,None,None,None,0,None,None,None,0,0,0,0,205.0,205.0,218.0,218.0
2024-01-01,SKU038,Food,170,477.21,STORE_001,0,1,1,0,0,188,0.0,None,None,None,0,None,None,None,0,0,0,0,188.0,188.0,170.0,170.0
2024-01-01,SKU039,Electronics,214,168.84,STORE_001,0,1,1,0,0,203,0.0,None,None,None,0,None,None,None,0,0,0,0,203.0,203.0,214.0,214.0
2024-01-01,SKU040,Sports,321,492.81,STORE_001,0,1,1,0,0,274,0.0,None,None,None,0,None,None,None,0,0,0,0,274.0,274.0,321.0,321.0
2024-01-01,SKU041,Home,51,128.03,STORE_001,0,1,1,0,0,64,0.0,None,None,None,0,None,None,None,0,0,0,0,64.0,64.0,51.0,51.0
2024-01-01,SKU042,Clothing,72,354.36,STORE_001,0,1,1,0,0,71,-3.87,None,None,None,0,None,None,None,0,0,0,0,71.0,71.0,72.0,72.0
2024-01-01,SKU043,Medicine,246,71.62,STORE_001,0,1,1,0,0,246,0.0,None,None,None,0,None,None,None,0,0,0,0,246.0,246.0,246.0,246.0
2024-01-01,SKU044,Medicine,86,122.16,STORE_001,0,1,1,0,0,92,-12.67,None,None,None,0,None,None,None,0,0,0,0,92.0,92.0,86.0,86.0
2024-01-01,SKU045,Books,270,113.78,STORE_001,0,1,1,0,0,296,0.0,None,None,None,0,None,None,None,0,0,0,0,296.0,296.0,270.0,270.0
2024-01-01,SKU046,Home,236,162.74,STORE_001,0,1,1,0,0,232,0.0,None,None,None,0,None,None,None,0,0,0,0,232.0,232.0,236.0,236.0
2024-01-01,SKU047,Sports,193,450.81,STORE_001,0,1,1,0,0,162,0.0,None,None,None,0,None,None,None,0,0,0,0,162.0,162.0,193.0,193.0
2024-01-01,SKU048,Home,108,41.37,STORE_001,0,1,1,0,0,107,0.0,None,None,None,0,None,None,None,0,0,0,0,107.0,107.0,108.0,108.0
2024-01-01,SKU049,Medicine,110,298.34,STORE_001,0,1,1,0,0,108,0.0,None,None,None,0,None,None,None,0,0,0,0,108.0,108.0,110.0,110.0
2024-01-01,SKU050,Electronics,90,43.03,STORE_001,0,1,1,0,0,108,0.0,None,None,None,0,None,None,None,0,0,0,0,108.0,108.0,90.0,90.0
2024-01-02,SKU001,Clothing,50,373.36,STORE_001,1,1,1,0,0,56,0.0,None,None,None,0,None,None,None,0,0,0,0,56.0,56.0,51.0,51.0
2024-01-02,SKU002,Food,261,60.22,STORE_001,1,1,1,0,0,238,0.0,None,None,None,0,None,None,None,0,0,0,0,238.0,238.0,238.5,238.5
2024-01-02,SKU003,Medicine,65,299.34,STORE_001,1,1,1,0,0,72,0.0,None,None,None,0,None,None,None,0,0,0,0,72.0,72.0,69.0,69.0
2024-01-02,SKU004,Clothing,98,124.0,STORE_001,1,1,1,0,0,105,0.0,None,None,None,0,None,None,None,0,0,0,0,105.0,105.0,109.5,109.5
2024-01-02,SKU005,Medicine,114,360.85,STORE_001,1,1,1,0,0,100,0.0,None,None,None,0,None,None,None,0,0,0,0,100.0,100.0,101.5,101.5
2024-01-02,SKU006,Books,95,230.11,STORE_001,1,1,1,0,0,106,0.0,None,None,None,0,None,None,None,0,0,0,0,106.0,106.0,98.5,98.5
2024-01-02,SKU007,Electronics,200,404.85,STORE_001,1,1,1,0,0,244,0.0,None,None,None,0,None,None,None,0,0,0,0,244.0,244.0,214.5,214.5
2024-01-02,SKU008,Sports,136,77.57,STORE_001,1,1,1,0,0,121,-9.99,None,None,None,0,None,None,None,0,0,0,0,121.0,121.0,137.0,137.0
2024-01-02,SKU009,Sports,64,55.45,STORE_001,1,1,1,0,0,76,0.0,None,None,None,0,None,None,None,0,0,0,0,76.0,76.0,72.0,72.0
2024-01-02,SKU010,Sports,176,139.62,STORE_001,1,1,1,0,0,204,0.0,None,None,None,0,None,None,None,0,0,0,0,204.0,204.0,202.0,202.0
2024-01-02,SKU011,Toys,202,71.16,STORE_001,1,1,1,0,0,187,0.0,None,None,None,0,None,None,None,0,0,0,0,187.0,187.0,182.5,182.5
2024-01-02,SKU012,Clothing,161,153.66,STORE_001,1,1,1,0,0,191,0.0,None,None,None,0,None,None,None,0,0,0,0,191.0,191.0,162.0,162.0
2024-01-02,SKU013,Sports,212,104.22,STORE_001,1,1,1,0,0,197,0.0,None,None,None,0,None,None,None,0,0,0,0,197.0,197.0,203.0,203.0
2024-01-02,SKU014,Home,201,151.8,STORE_001,1,1,1,0,0,247,0.0,None,None,None,0,None,None,None,0,0,0,0,247.0,247.0,203.0,203.0
2024-01-02,SKU015,Home,276,59.49,STORE_001,1,1,1,0,0,271,0.0,None,None,None,0,None,None,None,0,0,0,0,271.0,271.0,292.5,292.5
2024-01-02,SKU016,Sports,74,191.39,STORE_001,1,1,1,0,0,91,0.0,None,None,None,0,None,None,None,0,0,0,0,91.0,91.0,83.0,83.0
2024-01-02,SKU017,Beauty,268,468.96,STORE_001,1,1,1,0,0,229,0.0,None,None,None,0,None,None,None,0,0,0,0,229.0,229.0,260.0,260.0
2024-01-02,SKU018,Stationery,172,93.86,STORE_001,1,1,1,0,0,212,0.0,None,None,None,0,None,None,None,0,0,0,0,212.0,212.0,188.0,188.0
2024-01-02,SKU019,Food,180,195.93,STORE_001,1,1,1,0,0,168,0.0,None,None,None,0,None,None,None,0,0,0,0,168.0,168.0,186.0,186.0
2024-01-02,SKU020,Medicine,99,345.46,STORE_001,1,1,1,0,0,106,0.0,None,None,None,0,None,None,None,0,0,0,0,106.0,106.0,95.0,95.0
2024-01-02,SKU021,Electronics,124,412.68,STORE_001,1,1,1,0,0,108,0.0,None,None,None,0,None,None,None,0,0,0,0,108.0,108.0,125.0,125.0
2024-01-02,SKU022,Books,129,42.43,STORE_001,1,1,1,0,0,118,0.0,None,None,None,0,None,None,None,0,0,0,0,118.0,118.0,118.0,118.0
2024-01-02,SKU023,Stationery,245,361.78,STORE_001,1,1,1,0,0,274,0.0,None,None,None,0,None,None,None,0,0,0,0,274.0,274.0,272.0,272.0
2024-01-02,SKU024,Toys,169,443.49,STORE_001,1,1,1,0,0,151,0.0,None,None,None,0,None,None,None,0,0,0,0,151.0,151.0,164.5,164.5
2024-01-02,SKU025,Food,112,78.42,STORE_001,1,1,1,0,0,117,0.0,None,None,None,0,None,None,None,0,0,0,0,117.0,117.0,107.0,107.0
2024-01-02,SKU026,Medicine,136,376.04,STORE_001,1,1,1,0,0,117,0.0,None,None,None,0,None,None,None,0,0,0,0,117.0,117.0,116.0,116.0
2024-01-02,SKU027,Stationery,146,187.38,STORE_001,1,1,1,0,0,152,0.0,None,None,None,0,None,None,None,0,0,0,0,152.0,152.0,135.5,135.5
2024-01-02,SKU028,Food,196,251.82,STORE_001,1,1,1,0,0,180,0.0,None,None,None,0,None,None,None,0,0,0,0,180.0,180.0,171.5,171.5
2024-01-02,SKU029,Clothing,76,317.45,STORE_001,1,1,1,0,0,89,0.0,None,None,None,0,None,None,None,0,0,0,0,89.0,89.0,89.5,89.5
2024-01-02,SKU030,Books,192,38.71,STORE_001,1,1,1,0,0,202,-5.88,None,None,None,0,None,None,None,0,0,0,0,202.0,202.0,179.0,179.0
2024-01-02,SKU031,Toys,162,133.19,STORE_001,1,1,1,0,0,185,0.0,None,None,None,0,None,None,None,0,0,0,0,185.0,185.0,186.0,186.0
2024-01-02,SKU032,Electronics,210,363.15,STORE_001,1,1,1,0,0,224,0.0,None,None,None,0,None,None,None,0,0,0,0,224.0,224.0,233.0,233.0
2024-01-02,SKU033,Medicine,277,140.74,STORE_001,1,1,1,0,0,242,0.0,None,None,None,0,None,None,None,0,0,0,0,242.0,242.0,280.5,280.5
2024-01-02,SKU034,Clothing,133,223.03,STORE_001,1,1,1,0,0,125,0.0,None,None,None,0,None,None,None,0,0,0,0,125.0,125.0,130.5,130.5
2024-01-02,SKU035,Beauty,271,263.46,STORE_001,1,1,1,0,0,298,3.2,None,None,None,0,None,None,None,0,0,0,0,298.0,298.0,293.5,293.5
2024-01-02,SKU036,Clothing,255,316.4,STORE_001,1,1,1,0,0,272,0.0,None,None,None,0,None,None,None,0,0,0,0,272.0,272.0,253.5,253.5
2024-01-02,SKU037,Medicine,219,107.47,STORE_001,1,1,1,0,0,205,0.0,None,None,None,0,None,None,None,0,0,0,0,205.0,205.0,218.5,218.5
2024-01-02,SKU038,Food,175,507.33,STORE_001,1,1,1,0,0,188,6.31,None,None,None,0,None,None,None,0,0,0,0,188.0,188.0,172.5,172.5
2024-01-02,SKU039,Electronics,183,168.84,STORE_001,1,1,1,0,0,203,0.0,None,None,None,0,None,None,None,0,0,0,0,203.0,203.0,198.5,198.5
2024-01-02,SKU040,Sports,326,482.45,STORE_001,1,1,1,0,0,274,-2.1,None,None,None,0,None,None,None,0,0,0,0,274.0,274.0,323.5,323.5
2024-01-02,SKU041,Home,60,128.03,STORE_001,1,1,1,0,0,64,0.0,None,None,None,0,None,None,None,0,0,0,0,64.0,64.0,55.5,55.5
2024-01-02,SKU042,Clothing,69,368.63,STORE_001,1,1,1,0,0,71,0.0,None,None,None,0,None,None,None,0,0,0,0,71.0,71.0,70.5,70.5
2024-01-02,SKU043,Medicine,208,71.62,STORE_001,1,1,1,0,0,246,0.0,None,None,None,0,None,None,None,0,0,0,0,246.0,246.0,227.0,227.0
2024-01-02,SKU044,Medicine,80,130.2,STORE_001,1,1,1,0,0,92,-6.92,None,None,None,0,None,None,None,0,0,0,0,92.0,92.0,83.0,83.0
2024-01-02,SKU045,Books,298,113.78,STORE_001,1,1,1,0,0,296,0.0,None,None,None,0,None,None,None,0,0,0,0,296.0,296.0,284.0,284.0
2024-01-02,SKU046,Home,249,162.74,STORE_001,1,1,1,0,0,232,0.0,None,None,None,0,None,None,None,0,0,0,0,232.0,232.0,242.5,242.5
2024-01-02,SKU047,Sports,177,450.81,STORE_001,1,1,1,0,0,162,0.0,None,None,None,0,None,None,None,0,0,0,0,162.0,162.0,185.0,185.0
2024-01-02,SKU048,Home,104,41.37,STORE_001,1,1,1,0,0,107,0.0,None,None,None,0,None,None,None,0,0,0,0,107.0,107.0,106.0,106.0
2024-01-02,SKU049,Medicine,126,298.34,STORE_001,1,1,1,0,0,108,0.0,None,None,None,0,None,None,None,0,0,0,0,108.0,108.0,118.0,118.0
2024-01-02,SKU050,Electronics,115,43.03,STORE_001,1,1,1,0,0,108,0.0,None,None,None,0,None,None,None,0,0,0,0,108.0,108.0,102.5,102.5
2024-01-03,SKU001,Clothing,64,373.36,STORE_001,2,1,1,0,0,56,0.0,None,None,None,0,None,None,None,0,0,0,0,56.0,56.0,55.333333333333336,55.333333333333336
2024-01-03,SKU002,Food,253,60.22,STORE_001,2,1,1,0,0,238,0.0,None,None,None,0,None,None,None,0,0,0,0,238.0,238.0,243.33333333333334,243.33333333333334
2024-01-03,SKU003,Medicine,77,299.34,STORE_001,2,1,1,0,0,72,0.0,None,None,None,0,None,None,None,0,0,0,0,72.0,72.0,71.66666666666667,71.66666666666667
2024-01-03,SKU004,Clothing,92,124.0,STORE_001,2,1,1,0,0,105,0.0,None,None,None,0,None,None,None,0,0,0,0,105.0,105.0,103.66666666666667,103.66666666666667
2024-01-03,SKU005,Medicine,95,360.85,STORE_001,2,1,1,0,0,100,0.0,None,None,None,0,None,None,None,0,0,0,0,100.0,100.0,99.33333333333333,99.33333333333333
2024-01-03,SKU006,Books,92,230.11,STORE_001,2,1,1,0,0,106,0.0,None,None,None,0,None,None,None,0,0,0,0,106.0,106.0,96.33333333333333,96.33333333333333
2024-01-03,SKU007,Electronics,234,404.85,STORE_001,2,1,1,0,0,244,0.0,None,None,None,0,None,None,None,0,0,0,0,244.0,244.0,221.0,221.0
2024-01-03,SKU008,Sports,111,86.18,STORE_001,2,1,1,0,0,121,0.0,None,None,None,0,None,None,None,0,0,0,0,121.0,121.0,128.33333333333334,128.33333333333334
2024-01-03,SKU009,Sports,84,55.45,STORE_001,2,1,1,0,0,76,0.0,None,None,None,0,None,None,None,0,0,0,0,76.0,76.0,76.0,76.0
2024-01-03,SKU010,Sports,189,139.62,STORE_001,2,1,1,0,0,204,0.0,None,None,None,0,None,None,None,0,0,0,0,204.0,204.0,197.66666666666666,197.66666666666666
2024-01-03,SKU011,Toys,200,71.16,STORE_001,2,1,1,0,0,187,0.0,None,None,None,0,None,None,None,0,0,0,0,187.0,187.0,188.33333333333334,188.33333333333334
2024-01-03,SKU012,Clothing,213,153.66,STORE_001,2,1,1,0,0,191,0.0,None,None,None,0,None,None,None,0,0,0,0,191.0,191.0,179.0,179.0
2024-01-03,SKU013,Sports,215,104.22,STORE_001,2,1,1,0,0,197,0.0,None,None,None,0,None,None,None,0,0,0,0,197.0,197.0,207.0,207.0
2024-01-03,SKU014,Home,225,151.8,STORE_001,2,1,1,0,0,247,0.0,None,None,None,0,None,None,None,0,0,0,0,247.0,247.0,210.33333333333334,210.33333333333334
2024-01-03,SKU015,Home,283,64.58,STORE_001,2,1,1,0,0,271,8.56,None,None,None,0,None,None,None,0,0,0,0,271.0,271.0,289.3333333333333,289.3333333333333
2024-01-03,SKU016,Sports,81,191.39,STORE_001,2,1,1,0,0,91,0.0,None,None,None,0,None,None,None,0,0,0,0,91.0,91.0,82.33333333333333,82.33333333333333
2024-01-03,SKU017,Beauty,257,468.96,STORE_001,2,1,1,0,0,229,0.0,None,None,None,0,None,None,None,0,0,0,0,229.0,229.0,259.0,259.0
2024-01-03,SKU018,Stationery,173,93.86,STORE_001,2,1,1,0,0,212,0.0,None,None,None,0,None,None,None,0,0,0,0,212.0,212.0,183.0,183.0
2024-01-03,SKU019,Food,175,195.93,STORE_001,2,1,1,0,0,168,0.0,None,None,None,0,None,None,None,0,0,0,0,168.0,168.0,182.33333333333334,182.33333333333334
2024-01-03,SKU020,Medicine,104,345.46,STORE_001,2,1,1,0,0,106,0.0,None,None,None,0,None,None,None,0,0,0,0,106.0,106.0,98.0,98.0
2024-01-03,SKU021,Electronics,111,412.68,STORE_001,2,1,1,0,0,108,0.0,None,None,None,0,None,None,None,0,0,0,0,108.0,108.0,120.33333333333333,120.33333333333333
2024-01-03,SKU022,Books,112,42.43,STORE_001,2,1,1,0,0,118,0.0,None,None,None,0,None,None,None,0,0,0,0,118.0,118.0,116.0,116.0
2024-01-03,SKU023,Stationery,235,361.78,STORE_001,2,1,1,0,0,274,0.0,None,None,None,0,None,None,None,0,0,0,0,274.0,274.0,259.6666666666667,259.6666666666667
2024-01-03,SKU024,Toys,174,443.49,STORE_001,2,1,1,0,0,151,0.0,None,None,None,0,None,None,None,0,0,0,0,151.0,151.0,167.66666666666666,167.66666666666666
2024-01-03,SKU025,Food,135,78.42,STORE_001,2,1,1,0,0,117,0.0,None,None,None,0,None,None,None,0,0,0,0,117.0,117.0,116.33333333333333,116.33333333333333
2024-01-03,SKU026,Medicine,103,376.04,STORE_001,2,1,1,0,0,117,0.0,None,None,None,0,None,None,None,0,0,0,0,117.0,117.0,111.66666666666667,111.66666666666667
2024-01-03,SKU027,Stationery,163,187.38,STORE_001,2,1,1,0,0,152,0.0,None,None,None,0,None,None,None,0,0,0,0,152.0,152.0,144.66666666666666,144.66666666666666
2024-01-03,SKU028,Food,184,251.82,STORE_001,2,1,1,0,0,180,0.0,None,None,None,0,None,None,None,0,0,0,0,180.0,180.0,175.66666666666666,175.66666666666666
2024-01-03,SKU029,Clothing,75,317.45,STORE_001,2,1,1,0,0,89,0.0,None,None,None,0,None,None,None,0,0,0,0,89.0,89.0,84.66666666666667,84.66666666666667
2024-01-03,SKU030,Books,199,41.13,STORE_001,2,1,1,0,0,202,0.0,None,None,None,0,None,None,None,0,0,0,0,202.0,202.0,185.66666666666666,185.66666666666666
2024-01-03,SKU031,Toys,189,133.19,STORE_001,2,1,1,0,0,185,0.0,None,None,None,0,None,None,None,0,0,0,0,185.0,185.0,187.0,187.0
2024-01-03,SKU032,Electronics,246,363.15,STORE_001,2,1,1,0,0,224,0.0,None,None,None,0,None,None,None,0,0,0,0,224.0,224.0,237.33333333333334,237.33333333333334
2024-01-03,SKU033,Medicine,272,140.74,STORE_001,2,1,1,0,0,242,0.0,None,None,None,0,None,None,None,0,0,0,0,242.0,242.0,277.6666666666667,277.6666666666667
2024-01-03,SKU034,Clothing,121,223.03,STORE_001,2,1,1,0,0,125,0.0,None,None,None,0,None,None,None,0,0,0,0,125.0,125.0,127.33333333333333,127.33333333333333
2024-01-03,SKU035,Beauty,291,255.29,STORE_001,2,1,1,0,0,298,0.0,None,None,None,0,None,None,None,0,0,0,0,298.0,298.0,292.6666666666667,292.6666666666667
2024-01-03,SKU036,Clothing,311,316.4,STORE_001,2,1,1,0,0,272,0.0,None,None,None,0,None,None,None,0,0,0,0,272.0,272.0,272.6666666666667,272.6666666666667
2024-01-03,SKU037,Medicine,225,107.47,STORE_001,2,1,1,0,0,205,0.0,None,None,None,0,None,None,None,0,0,0,0,205.0,205.0,220.66666666666666,220.66666666666666
2024-01-03,SKU038,Food,171,477.21,STORE_001,2,1,1,0,0,188,0.0,None,None,None,0,None,None,None,0,0,0,0,188.0,188.0,172.0,172.0
2024-01-03,SKU039,Electronics,201,168.84,STORE_001,2,1,1,0,0,203,0.0,None,None,None,0,None,None,None,0,0,0,0,203.0,203.0,199.33333333333334,199.33333333333334
2024-01-03,SKU040,Sports,267,492.81,STORE_001,2,1,1,0,0,274,0.0,None,None,None,0,None,None,None,0,0,0,0,274.0,274.0,304.6666666666667,304.6666666666667
2024-01-03,SKU041,Home,57,128.03,STORE_001,2,1,1,0,0,64,0.0,None,None,None,0,None,None,None,0,0,0,0,64.0,64.0,56.0,56.0
2024-01-03,SKU042,Clothing,82,311.58,STORE_001,2,1,1,0,0,71,-15.48,None,None,None,0,None,None,None,0,0,0,0,71.0,71.0,74.33333333333333,74.33333333333333
2024-01-03,SKU043,Medicine,234,71.62,STORE_001,2,1,1,0,0,246,0.0,None,None,None,0,None,None,None,0,0,0,0,246.0,246.0,229.33333333333334,229.33333333333334
2024-01-03,SKU044,Medicine,81,139.88,STORE_001,2,1,1,0,0,92,0.0,None,None,None,0,None,None,None,0,0,0,0,92.0,92.0,82.33333333333333,82.33333333333333
2024-01-03,SKU045,Books,275,113.78,STORE_001,2,1,1,0,0,296,0.0,None,None,None,0,None,None,None,0,0,0,0,296.0,296.0,281.0,281.0
2024-01-03,SKU046,Home,191,162.74,STORE_001,2,1,1,0,0,232,0.0,None,None,None,0,None,None,None,0,0,0,0,232.0,232.0,225.33333333333334,225.33333333333334
2024-01-03,SKU047,Sports,154,450.81,STORE_001,2,1,1,0,0,162,0.0,None,None,None,0,None,None,None,0,0,0,0,162.0,162.0,174.66666666666666,174.66666666666666
2024-01-03,SKU048,Home,126,44.03,STORE_001,2,1,1,0,0,107,6.42,None,None,None,0,None,None,None,0,0,0,0,107.0,107.0,112.66666666666667,112.66666666666667
2024-01-03,SKU049,Medicine,111,298.34,STORE_001,2,1,1,0,0,108,0.0,None,None,None,0,None,None,None,0,0,0,0,108.0,108.0,115.66666666666667,115.66666666666667
2024-01-03,SKU050,Electronics,127,43.03,STORE_001,2,1,1,0,0,108,0.0,None,None,None,0,None,None,None,0,0,0,0,108.0,108.0,110.66666666666667,110.66666666666667
2024-01-04,SKU001,Clothing,53,373.36,STORE_001,3,1,1,0,0,56,0.0,None,None,None,0,None,None,None,0,0,0,0,56.0,56.0,54.75,54.75
2024-01-04,SKU002,Food,269,60.22,STORE_001,3,1,1,0,0,238,0.0,None,None,None,0,None,None,None,0,0,0,0,238.0,238.0,249.75,249.75
2024-01-04,SKU003,Medicine,78,299.34,STORE_001,3,1,1,0,0,72,0.0,None,None,None,0,None,None,None,0,0,0,0,72.0,72.0,73.25,73.25
2024-01-04,SKU004,Clothing,121,124.0,STORE_001,3,1,1,0,0,105,0.0,None,None,None,0,None,None,None,0,0,0,0,105.0,105.0,108.0,108.0
2024-01-04,SKU005,Medicine,90,360.85,STORE_001,3,1,1,0,0,100,0.0,None,None,None,0,None,None,None,0,0,0,0,100.0,100.0,97.0,97.0
2024-01-04,SKU006,Books,101,230.11,STORE_001,3,1,1,0,0,106,0.0,None,None,None,0,None,None,None,0,0,0,0,106.0,106.0,97.5,97.5
2024-01-04,SKU007,Electronics,273,404.85,STORE_001,3,1,1,0,0,244,0.0,None,None,None,0,None,None,None,0,0,0,0,244.0,244.0,234.0,234.0
2024-01-04,SKU008,Sports,137,86.18,STORE_001,3,1,1,0,0,121,0.0,None,None,None,0,None,None,None,0,0,0,0,121.0,121.0,130.5,130.5
2024-01-04,SKU009,Sports,90,55.45,STORE_001,3,1,1,0,0,76,0.0,None,None,None,0,None,None,None,0,0,0,0,76.0,76.0,79.5,79.5
2024-01-04,SKU010,Sports,237,139.62,STORE_001,3,1,1,0,0,204,0.0,None,None,None,0,None,None,None,0,0,0,0,204.0,204.0,207.5,207.5
2024-01-04,SKU011,Toys,199,66.08,STORE_001,3,1,1,0,0,187,-7.14,None,None,None,0,None,None,None,0,0,0,0,187.0,187.0,191.0,191.0
2024-01-04,SKU012,Clothing,219,153.66,STORE_001,3,1,1,0,0,191,0.0,None,None,None,0,None,None,None,0,0,0,0,191.0,191.0,189.0,189.0
